player_name,year,target_points,datapoints,points,preseason_rank,passing_attempts,passing_completions,passing_yards,passing_touchdowns,passing_interceptions,passing_two_points,rushing_attempts,rushing_yards,rushing_touchdowns,rushing_two_points,receiving_receptions,receiving_yards,receiving_touchdowns,receiving_two_points,fumble_fumbles,fumble_touchdowns,pat_attempts,pat_made,fg_attempts,fg_made,fifty_yd_fg_made,defensive_sacks,defensive_interceptions,defensive_safeties,defensive_fumble_recoveries,defensive_blocked_kicks,defensive_touchdowns,defensive_points_against,defensive_passing_yards_allowed,defensive_rushing_yards_allowed,defensive_total_yards_allowed
Ed Dickson,2011,2.8333333333333335,15,5.0,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.466666666666667,34.666666666666664,0.3333333333333333,0.0,0.0,0.0,,,,,,,,,,,,,,,
Ed Dickson,2012,2.5454545454545454,6,2.8333333333333335,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,31.666666666666668,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Ed Dickson,2013,2.5,11,2.5454545454545454,184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1818181818181817,24.545454545454547,0.09090909090909091,0.0,0.0,0.0,,,,,,,,,,,,,,,
Fendi Onobun,2010,,1,1.0,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Fendi Onobun,2011,,0,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fendi Onobun,2012,,0,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fendi Onobun,2013,,0,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff King,2010,3.6363636363636362,7,2.857142857142857,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.857142857142858,0.2857142857142857,0.0,0.0,0.0,,,,,,,,,,,,,,,
Jeff King,2011,1.8,11,3.6363636363636362,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3636363636363638,24.363636363636363,0.2727272727272727,0.0,0.0,0.0,,,,,,,,,,,,,,,
Jeff King,2012,,5,1.8,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,20.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
