player_name,year,target_points,datapoints,points,preseason_rank,passing_attempts,passing_completions,passing_yards,passing_touchdowns,passing_interceptions,passing_two_points,rushing_attempts,rushing_yards,rushing_touchdowns,rushing_two_points,receiving_receptions,receiving_yards,receiving_touchdowns,receiving_two_points,fumble_fumbles,fumble_touchdowns,pat_attempts,pat_made,fg_attempts,fg_made,fifty_yd_fg_made,defensive_sacks,defensive_interceptions,defensive_safeties,defensive_fumble_recoveries,defensive_blocked_kicks,defensive_touchdowns,defensive_points_against,defensive_passing_yards_allowed,defensive_rushing_yards_allowed,defensive_total_yards_allowed
Matt Prater,2010,5.8125,12,6.666666666666667,57,,,,,,,,,,,,,,,,,2.4166666666666665,2.3333333333333335,1.5,1.3333333333333333,0.16666666666666666,,,,,,,,,,
Matt Prater,2011,8.6875,16,5.8125,13,,,,,,,,,,,,,,,,,1.875,1.875,1.5625,1.1875,0.1875,,,,,,,,,,
Matt Prater,2012,9.285714285714286,16,8.6875,32,,,,,,,,,,,,,,,,,3.4375,3.4375,2.0,1.625,0.1875,,,,,,,,,,
Matt Prater,2013,8.181818181818182,14,9.285714285714286,240,,,,,,,,,,,,,,,,,4.642857142857143,4.642857142857143,1.4285714285714286,1.3571428571428572,0.2857142857142857,,,,,,,,,,
Olindo Mare,2010,6.875,14,5.142857142857143,44,,,,,,,,,,,,,,,,,1.9285714285714286,1.9285714285714286,1.3571428571428572,1.0714285714285714,0.0,,,,,,,,,,
Olindo Mare,2011,8.333333333333334,16,6.875,74,,,,,,,,,,,,,,,,,2.8125,2.75,1.75,1.375,0.0,,,,,,,,,,
Olindo Mare,2012,,3,8.333333333333334,64,,,,,,,,,,,,,,,,,2.3333333333333335,2.3333333333333335,2.6666666666666665,2.0,0.0,,,,,,,,,,
Olindo Mare,2013,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Gould,2010,8.3125,15,6.666666666666667,138,,,,,,,,,,,,,,,,,2.066666666666667,2.066666666666667,1.7333333333333334,1.4,0.2,,,,,,,,,,
Robbie Gould,2011,7.083333333333333,16,8.3125,132,,,,,,,,,,,,,,,,,2.3125,2.3125,2.0,1.75,0.375,,,,,,,,,,
Robbie Gould,2012,8.0625,12,7.083333333333333,107,,,,,,,,,,,,,,,,,2.25,2.25,1.8333333333333333,1.5,0.16666666666666666,,,,,,,,,,
Robbie Gould,2013,4.583333333333333,16,8.0625,206,,,,,,,,,,,,,,,,,2.875,2.8125,1.8125,1.625,0.1875,,,,,,,,,,
